"{""ImportId"":""startDate"",""timeZone"":""Europe/London""},""{""""ImportId"""":""""endDate"""",""""timeZone"""":""""Europe/London""""}"",""{""""ImportId"""":""""QID1_TEXT""""}"",""{""""ImportId"""":""""QID26""""}"",""{""""ImportId"""":""""QID27_TEXT""""}"",""{""""ImportId"""":""""QID2""""}"",""{""""ImportId"""":""""QID3""""}"",""{""""ImportId"""":""""QID24""""}"",""{""""ImportId"""":""""QID25""""}"",""{""""ImportId"""":""""QID6_1""""}"",""{""""ImportId"""":""""QID6_2""""}"",""{""""ImportId"""":""""QID6_3""""}"",""{""""ImportId"""":""""QID6_4""""}"",""{""""ImportId"""":""""QID6_5""""}"",""{""""ImportId"""":""""QID6_6""""}"",""{""""ImportId"""":""""QID6_7""""}"",""{""""ImportId"""":""""QID6_17""""}"",""{""""ImportId"""":""""QID6_18""""}"",""{""""ImportId"""":""""QID6_8""""}"",""{""""ImportId"""":""""QID6_9""""}"",""{""""ImportId"""":""""QID6_10""""}"",""{""""ImportId"""":""""QID6_11""""}"",""{""""ImportId"""":""""QID6_12""""}"",""{""""ImportId"""":""""QID6_13""""}"",""{""""ImportId"""":""""QID6_14""""}"",""{""""ImportId"""":""""QID6_15""""}"",""{""""ImportId"""":""""QID6_16""""}"",""{""""ImportId"""":""""QID6_19""""}"",""{""""ImportId"""":""""QID6_20""""}"",""{""""ImportId"""":""""SC_5zfT4VAI9AojjO6""""}"""
28/10/2021 21:15,28/10/2021 21:21,AF029,Female,51,Agree,Agree,Disagree,Online,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,49
29/10/2021 14:12,29/10/2021 14:14,AF034,Female,24,Agree,Agree,Agree,Online,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,29
29/10/2021 17:07,29/10/2021 17:16,AF033,Male,70,Agree,Agree,Agree,Online,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,37
29/10/2021 17:32,29/10/2021 17:38,AF036,Male,74,Agree,Agree,Agree,Online,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat agree,44
29/10/2021 22:03,29/10/2021 22:31,AF028,Female,55,Agree,Agree,Agree,Online,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,39
31/10/2021 12:28,31/10/2021 12:33,AF037,Female,71,Agree,Agree,Agree,Online,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,33
31/10/2021 13:48,31/10/2021 13:53,AF008,Female,71,Agree,Agree,Agree,Online,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,77
03/11/2021 11:21,03/11/2021 11:25,AF035,Female,55,Agree,Agree,Agree,Online,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,49
05/11/2021 08:16,05/11/2021 08:21,AF042,Male,32,Agree,Agree,Agree,Online,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,48
05/11/2021 14:21,05/11/2021 14:29,AF030,Female,54,Agree,Agree,Agree,Online,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,30
