anon_id	sex	sexpref	age	SDI1	SDI2	SDI3	SDI4	SDI5	SDI6	SDI7	SDI8	SDI9	SDI10	SDI11	SDI12	SDI13	SDI14	total
b691a2d314f19b913b8608cc2f2b516a	male		22.2	7	7	7	9	9	9	9	5	7	6	8	8	7	8	106
85b3d2e85f12a7eaa66644b1d5fcd241	male		32.3	5	3	5	5	6	7	9	9	5	3	5	7	5	1	75
a1ade94ad0a913f454ba0ad0d5c0f53a	male		18.4	7	6	8	8	8	8	8	5	6	6	5	6	7	6	94
3027fbfb015cede41653bf93f15862bf	male		29.6	7	7	7	7	7	7	9	9	9	5	5	3	4	6	92
3440328292ef585848cdca9e3e6a087a	female		38.7	6	6	7	5	4	6	7	7	8	3	6	6	6	2	79
36a01c8f5333227a80e502b3762ea7d7	female		24.8	5	6	9	9	9	9	8	9	8	1	4	7	5	3	92
a770373ff631801c99febc808bb7e5bc	female		18.8	4	4	9	7	8	9	9	7	5	4	7	5	5	3	86
853f94d71c26535100777a9c7851b2ce	male		20.3	4	4	7	6	5	5	6	7	5	5	4	4	5	2	69
56f144f9a4bbd320e715cba5f008c043	male		24.6	7	7	9	8	9	9	9	9	6	5	6	8	6	5	103
71875c3bc980999e0b64f4149d707f61	male		32.6	2	2	9	7	5	9	9	9	9	1	6	9	7	7	91
1161c99be112b4b26e8c6c0925160646	male		21.1	6	4	7	6	8	4	9	7	4	4	6	2	7	6	80
acb69cf713ba410963c82e102714f178	male		34.1	5	6	7	6	9	8	9	8	6	1	2	1	1	4	73
57fed424bd73229f9781d87030c34fc3	female		29.4	2	3	5	6	7	5	7	7	5	5	7	7	5	3	74
7a9cee6a56bfc59d8f7c85c701bb5122	female		19.4	4	3	5	2	3	7	9	5	2	1	2	1	4	3	51
af1fb7440ffe926d127eccb92e62df91	male		49.3	6	5	5	2	1	3	6	5	5	3	3	4	4	4	56
f84bd56fb9a8002840195cb843a67e39	female		27.0	1	2	9	4	4	9	7	6	1	0	1	1	1	2	48
016a38e75495bb071030a32dfa9e505e	female		21.2	7	4	9	3	6	6	8	9	7	6	7	7	8	2	89
65f487a337689e9a769720b2d5b36419	female		23.7	7	7	8	5	7	9	9	8	6	5	3	3	5	4	86
21f5cf0ae7695c406d65396c98a2810c	female		19.3	5	5	4	7	4	7	9	7	6	5	3	3	5	5	75
26d960f19279823ab3851752aa1ff5d2	female		36.8	2	4	3	2	2	4	4	5	4	2	4	3	5	3	47
8e9e20a79f2ca2d261e805d2c27ed4a9	female		33.3	5	6	4	3	4	6	6	5	6	4	3	3	5	3	63
2b0e449165ac178ac56884f155c399fc	male		24.7	7	7	8	6	7	9	8	5	6	1	5	2	5	5	81
fe257eafbab19d66a83aea8a63ba1b85	male		26.3	5	6	9	8	8	8	9	8	8	5	6	6	6	6	98
87f530a732789df0bd5023451ae89447	female		19.8	2	6	7	3	3	7	7	4	3	1	5	5	5	2	60
fa5a464893a1eff1af1960b1db8e4851	female		42.5	5	6	8	8	8	8	8	7	7	4	5	4	5	1	84
b1c6136f442a4ab232e0e3b82f03f875	female		28.9	6	3	8	7	6	8	8	8	5	3	4	4	4	4	78
8605ad2ece2795d2f5362280b908b983	female		21.5	7	7	6	7	8	8	8	8	7	7	8	9	8	6	104
7980525817f2fa296ff8aa2fde15cb98	female		18.2	4	4	6	3	3	4	5	4	3	1	2	1	1	0	41
518d4ebb8aaee67de065bf486fa3849a	female		21.7	4	6	8	6	9	9	9	6	5	6	4	1	4	3	80
f8dddf37649e10655d9a80eabbdda53a	female		19.0	6	6	7	3	5	6	6	4	5	1	2	1	1	1	54
4bb9eb23c84402d7d377ca2140dd7b6f	male		25.9	4	7	5	5	2	3	8	7	6	0	7	5	5	6	70
5bd7e6bfee6a3861693ace33bea9f66d	female		18.6	5	5	8	5	7	9	8	8	7	6	7	7	8	6	96
49431219afa269d3b2f7f2dcdc784cc8	female		23.9	5	5	5	6	7	5	5	4	7	4	4	4	7	5	73
dc6988b96a0850492d310307bde6084e	female		27.4	5	5	9	5	6	8	9	7	9	0	1	1	1	3	69
86bf4d8cd6ff76181e3060df49dc9473	female		23.3	4	5	7	3	3	3	7	6	5	5	7	7	8	5	75
66c2103e8d374f5092a2ea1330816a1b	female		18.3	5	7	8	3	3	9	8	7	7	6	7	5	5	2	82
ea7ea650ce190e3c0e503403b209a04f	female		19.6	7	4	7	8	6	6	6	9	8	5	5	7	7	6	91
04cfc7e865f5eb074b02ca72d1eda11c	male		24.1	6	5	9	7	7	6	7	9	6	3	5	5	5	1	81
f8ec5e884f25acb2f27835294402bfdd	female		25.9	4	1	4	2	2	3	4	6	5	1	7	6	5	3	53
56a394c94cb2c72af547b38810f2ef0f	female		20.5	5	4	8	5	3	6	9	6	5	0	6	6	6	6	75
a42e99c3675b9d8a55b268de6260fe0a	male		19.0	5	0	9	9	9	9	9	9	9	7	7	7	7	4	100
e70a698e0eb62cec5b27e77315257623	male		28.8	4	0	7	7	8	4	7	6	7	3	2	2	2	2	61
9025714aeb64e0d6373a5b4271d11ffd	male		29.5	7	0	8	6	5	3	6	5	6	7	8	7	7	2	77
e437b5b124c41ef4d4d8ba852aa12a17	male		34.9	7	7	9	9	9	5	9	7	9	7	9	3	9	6	105
26717751b5131b9388d3fb703c2421d8	female		19.7	5	7	7	1	6	9	8	4	6	3	1	2	1	7	67
b278c0ff85a04cbddf960d6c038f01e5	male		19.3	6	6	7	4	7	8	8	7	6	5	5	6	6	4	85
08d323f2457b216012ddbe6cbd88fb2a	male		18.2	5	4	8	8	9	7	8	7	5	5	8	6	5	6	91
e9682847b3d2ea9e0de5f1242389398b	male		19.1	6	4	7	8	9	9	9	6	7	6	7	7	7	5	97
f1f0fcc84e1892a781080522b60e3755	male		23.1	6	4	7	8	7	3	7	7	5	5	9	7	9	5	89
ce583244ee064d54f7171235393bda05	male		23.5	0	1	7	8	8	7	9	7	2	3	6	6	6	2	72
d939e588483a3744f615d0f9b92f3d74	female		19.7	3	2	7	3	4	4	7	7	7	0	2	2	4	3	55
479ab52332011db30506420887631a05	male		63.6	6	6	8	7	8	9	9	9	8	5	7	6	6	6	100
d70b7e8a6ed061ad526277bcb603b420	female		20.6	4	6	7	7	9	7	8	8	7	6	9	9	9	4	100
f823c7e99be97f8dfc2033990f182566	male		21.0	7	7	7	3	5	3	8	5	7	0	2	5	3	6	68
d31861564eb345a055851615cf20f609	male		24.2	6	4	7	6	6	8	8	6	7	5	6	1	6	5	81
42bcab9d5517da1fd367bb6d516043e5	male		23.9	4	6	6	7	6	8	7	7	7	6	6	6	6	6	88
c9caa7adb7c4233fd54e8e69b615a668	female		38.4	1	4	3	2	1	6	9	9	8	0	1	1	2	2	49
f4ef3c5c1fd4ab784fb2ed95a4deb3a7	male		25.3	6	4	8	7	7	9	8	9	6	5	6	9	6	5	95
ebf6319f30255e6f5d330b07820ced27	female		28.0	5	4	5	4	3	3	5	7	5	3	5	3	5	4	61
83c88d80352458452da267a40bbcd528	female		21.8	6	6	7	7	6	8	9	7	7	6	8	8	8	4	97
0d788b606835fe64cde2ddcb9c6f2a39	female		44.1	7	7	9	5	5	5	9	9	7	5	5	5	5	4	87
7c5218096aa14d5abd04397e655f08bd	male		27.3	7	6	8	6	6	8	9	9	8	7	7	8	8	6	103
93cab1466c9774dbdb25aa6379a68649	female		24.2	4	6	6	4	4	8	6	4	5	2	5	2	1	4	61
daa8cca02e56de31518212e025ced6dc	male		50.1	5	4	7	7	5	5	6	4	6	5	7	6	5	6	78
006cfae755cd6040a813600a7c17c67f	female		32.8	7	5	8	6	6	8	8	8	8	4	4	4	4	4	84
a737e943eac7955e813c95cdde8f8858	female		30.3	6	6	7	8	8	8	8	7	6	5	5	6	6	4	90
5580c69d5dbfeecca75036f0bba37f34	male		30.5	6	7	8	9	7	6	7	7	8	7	8	8	7	6	101
b48dc67a8579c1a96ccac498cade7c8c	male		30.6	7	7	9	9	9	9	9	9	5	6	6	6	5	6	102
dc3b6cda4ff09bea0f50a226efab87f1	male		23.1	5	6	5	5	7	4	8	7	8	6	6	4	6	4	81
ff499bc1fd2a99af6f56df86a3e7beaa	male		18.9	7	7	7	7	8	7	8	4	5	7	7	8	8	7	97
