Age	Sex	Education	LN	EHI1	EHI2	EHI3	EHI4	EHI5	EHI6	EHI7	EHI8	EHI9	EHI10	FLI1	FLI2	FLI3	FLI4	FLI5	FLI6	FLI7	FLI8	FLI9	FLI10	FLI_recznosc_samoocena	FLI_uszkodzenia
20	1	1	14	1	1	1	2	1	1	2	2	1	1	100	100	50	50	50	50	50	50	50	50	3	1
26	1	4	17	1	1	1	1	1	1	1	1	3	1	100	100	50	80	50	60	70	90	60	100	1	0
21	1	2	13	1	1	1	1	1	1	2	1	1	1	100	100	70	98	60	50	98	88	90	100	1	0
22	1	2	16	1	1	1	3	1	3	1	1	1	1	100	100	60	999	100	999	70	90	60	100	1	0
33	1	4	22	1	1	1	1	1	1	3	1	1	1	100	100	95	95	60	999	80	99	95	100	1	0
19	1	2	12.5	1	1	1	1	1	1	1	1	1	1	100	100	50	100	50	50	100	100	100	100	1	0
44	1	2	17	2	2	1	2	2	2	2	2	2	2	0	0	50	100	80	98	98	5	80	0	2	0
22	1	2	16	1	1	1	1	1	1	3	1	3	1	100	100	100	50	50	50	50	70	70	100	1	0
27	1	4	21	1	1	1	3	1	3	3	1	1	1	100	100	75	80	50	50	80	100	75	100	1	0
19	1	1	13	1	1	1	1	1	1	3	1	1	1	100	100	100	100	0	100	90	100	100	100	1	0
33	2	4	18	2	2	2	3	2	2	2	2	2	2	0	0	10	15	50	33	15	15	33	15	2	0
23	2	2	17	2	2	2	2	2	2	2	2	2	2	0	0	50	0	50	50	50	0	50	0	2	0
20	1	2	12	1	1	1	1	1	2	2	1	2	1	98	98	98	98	0	0	0	98	98	98	1	0
31	1	2	17	2	2	1	2	2	2	2	2	3	2	0	0	2	50	0	0	25	25	30	30	2	0
21	2	2	14	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	90	20	0	0	0	2	0
19	2	2	13	2	2	2	2	2	2	2	2	3	3	0	0	50	50	0	30	50	25	25	0	2	0
22	2	2	16	1	1	1	1	1	1	3	1	3	1	95	98	95	60	75	50	80	95	65	100	1	0
19	2	2	12	1	1	1	1	1	1	1	1	2	1	99	99	89	69	94	26	93	86	88	91	1	0
22	2	2	16	1	1	1	3	1	3	3	1	1	1	100	100	70	95	90	70	999	90	80	100	1	0
32	1	4	17	1	1	3	3	1	3	3	1	3	2	100	100	50	50	50	50	50	30	50	70	3	0
24	1	4	17	1	1	1	1	1	1	1	1	1	1	100	100	80	60	20	50	90	100	90	100	1	0
18	2	2	12	1	1	1	3	1	1	3	1	1	1	98	90	80	99	56	70	90	90	80	99	1	0
26	1	2	19	1	1	1	1	1	1	1	3	2	1	100	100	40	100	100	999	999	100	999	100	1	0
20	2	2	13	2	2	1	1	2	2	1	1	1	1	0	0	100	60	100	50	50	70	50	50	2	1
25	2	2	17	1	1	1	1	1	1	1	1	1	1	100	100	98	100	0	98	98	100	98	100	1	0
22	1	4	17	1	1	1	1	1	1	1	1	1	1	100	100	89	90	90	90	90	90	100	100	1	0
23	2	2	16	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	30	0	0	0	0	2	0
19	2	2	12	1	1	3	1	1	3	3	3	3	1	100	100	100	60	50	50	50	100	50	100	1	0
25	1	4	17	1	1	1	1	1	1	1	1	3	1	100	100	100	100	999	999	70	100	999	100	1	0
32	2	4	21	1	1	1	1	1	1	1	1	1	1	98	98	98	98	98	98	98	98	98	98	1	0
22	1	2	16	1	1	1	1	1	1	3	1	2	1	100	100	100	100	0	50	100	100	50	100	1	0
20	1	2	13	1	1	1	3	1	1	3	1	3	1	100	100	60	70	50	80	60	100	50	100	1	0
20	1	2	13	1	1	1	1	1	3	3	1	3	1	0	0	0	0	0	0	0	0	0	 	1	0
29	2	4	22	1	1	3	1	1	3	3	1	3	1	100	100	70	100	65	55	65	80	55	90	1	0
27	2	2	20	2	2	2	2	2	2	3	2	2	2	0	0	30	50	0	0	0	0	0	0	2	0
23	1	4	17	1	1	1	1	1	1	1	1	1	1	100	100	98	90	70	60	60	98	80	98	1	0
26	1	4	18	1	1	1	1	1	1	1	1	1	1	98	98	50	50	50	50	98	98	50	0	1	0
22	2	2	15	1	1	1	1	1	1	1	1	3	1	100	100	999	65	25	40	40	90	35	100	1	0
20	1	2	15	1	1	1	1	1	1	1	1	3	1	100	100	95	98	70	60	80	95	80	100	1	0
23	1	4	16	1	1	1	1	1	1	3	1	1	1	100	100	90	95	999	80	90	100	999	100	1	0
40	2	4	18	2	2	2	2	2	2	2	2	1	2	0	0	0	50	50	50	0	0	50	0	2	0
18	1	1	12	1	1	1	1	1	1	1	1	1	1	100	100	100	98	80	70	60	100	80	100	1	0
21	2	1	8	2	2	2	2	2	2	3	2	3	2	0	0	25	0	0	15	10	0	30	0	2	0
20	2	2	13	2	2	2	2	2	2	3	2	3	3	0	0	100	25	0	50	50	25	50	0	2	0
38	1	4	25	1	1	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	100	100	1	0
23	2	4	16	1	1	1	1	1	1	1	1	1	1	100	100	95	95	100	80	80	95	90	100	1	0
20	2	2	14.5	1	1	1	1	1	1	3	1	1	1	100	95	60	65	50	50	95	100	70	100	1	0
20	2	2	14	2	2	2	2	2	2	2	2	2	2	10	0	15	20	0	50	40	2	30	0	2	0
24	1	4	17	1	1	1	1	1	1	1	1	1	1	100	100	90	90	999	80	80	100	80	100	1	0
22	1	2	12	1	1	1	1	1	1	1	1	1	1	100	100	50	50	50	50	90	90	80	100	1	0
27	2	2	16	1	1	1	1	1	1	1	1	1	1	100	100	90	100	50	50	70	90	50	100	3	0
18	1	1	11	1	1	1	1	1	1	1	1	1	1	100	100	50	100	100	70	100	100	60	100	1	0
23	1	2	12	1	1	1	3	1	1	1	1	1	1	98	 	98	98	98	98	98	98	98	98	1	0
22	1	2	16	1	1	1	1	1	1	1	1	1	1	100	100	90	90	70	70	80	90	80	 	1	0
25	1	4	17	2	2	2	2	2	2	2	2	1	1	0	0	5	50	98	98	100	100	98	5	2	0
19	1	2	14	1	1	1	1	1	1	3	1	3	1	100	100	80	98	80	50	75	90	60	100	1	0
20	1	2	14	2	2	2	2	2	2	2	2	2	2	0	0	20	30	0	0	30	0	10	0	2	0
22	1	2	12	2	2	2	2	2	2	2	2	2	2	0	0	0	100	0	0	0	0	0	0	2	0
23	1	2	17	1	2	1	3	1	3	3	1	3	3	100	100	50	50	50	50	50	50	50	50	1	0
22	1	2	16	1	1	1	1	1	1	2	1	1	1	100	100	80	90	100	999	999	90	70	100	1	0
20	1	2	13	2	2	2	2	2	3	2	2	2	2	0	0	50	50	50	50	0	0	40	0	2	0
18	1	1	12	1	1	1	1	1	1	1	1	1	1	100	100	90	100	50	60	70	80	80	100	1	0
20	1	2	13	1	1	1	1	1	1	2	1	1	1	100	100	100	100	100	100	999	90	90	 	1	0
18	2	1	11	1	1	1	1	1	1	1	1	1	1	100	100	100	100	50	70	85	80	60	100	1	0
21	2	2	15	1	1	1	1	1	1	1	1	3	1	100	100	90	75	50	70	95	100	80	100	1	0
22	1	4	15	1	1	1	1	1	1	2	1	1	1	100	100	100	85	50	70	80	80	80	100	1	0
21	1	2	14	1	1	1	1	1	1	1	1	1	1	90	80	50	100	50	50	0	80	75	100	1	0
39	1	4	18	1	1	1	1	1	1	2	1	2	1	100	100	999	999	100	999	100	100	999	100	1	0
26	1	4	22	1	1	1	3	1	3	3	1	1	1	100	100	80	90	95	60	80	80	90	100	1	0
18	1	1	12	1	1	1	1	1	1	1	1	1	2	100	100	10	100	0	90	70	0	60	0	1	0
20	1	2	13.5	1	1	1	1	1	1	1	1	3	1	100	100	80	90	50	50	80	90	90	100	1	0
22	1	3	16	1	1	1	1	1	1	1	1	1	1	100	100	70	95	999	40	999	80	60	90	1	0
65	1	2	10	1	1	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	50	100	1	0
21	1	2	15	1	1	1	3	1	3	3	1	3	1	95	100	60	50	50	50	75	80	60	100	1	0
23	2	2	13	1	1	1	3	1	3	1	1	3	1	98	95	100	70	85	75	97	100	93	100	1	0
23	1	4	15	1	1	1	1	1	1	1	1	3	1	100	100	50	100	0	100	100	100	100	100	1	0
40	1	4	22	1	1	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	70	100	1	0
22	1	3	15	2	1	1	1	2	2	1	3	1	1	0	0	30	50	5	10	100	100	50	100	2	0
22	1	2	15	2	2	2	2	2	2	2	2	1	2	30	10	50	50	50	50	50	10	50	0	2	0
20	1	2	13	1	1	1	1	1	2	2	1	3	1	100	92	50	96	60	0	80	100	50	100	1	0
43	2	4	17	2	2	2	2	3	2	3	2	2	2	0	30	20	80	5	10	0	0	15	30	2	0
24	1	4	17	2	2	2	2	2	2	2	2	2	1	0	0	0	10	0	50	0	50	50	0	2	0
22	1	2	16	1	1	1	1	1	1	2	1	2	1	100	100	75	75	50	50	90	90	50	100	1	0
22	1	2	16	1	1	1	1	1	1	1	1	1	1	100	100	70	90	100	90	98	100	80	100	1	0
21	2	1	14	1	1	1	1	1	1	1	1	1	1	100	100	99	100	10	8	95	98	90	100	1	0
25	1	4	17	1	1	1	1	1	1	3	1	3	1	100	100	70	100	50	60	70	90	90	100	1	0
18	1	1	9	1	1	3	3	1	3	3	3	3	1	100	100	50	50	50	50	50	90	50	90	1	0
23	1	4	16	2	2	2	2	2	2	3	2	3	3	0	0	50	60	50	50	70	80	10	0	2	0
61	1	4	21	1	1	1	1	1	1	1	1	1	1	100	100	95	98	95	90	98	100	98	100	1	0
26	1	4	18	1	1	1	1	1	1	1	1	1	1	100	100	50	90	90	90	60	90	70	100	1	0
23	2	4	17	1	1	1	1	1	1	1	1	3	1	0	0	0	0	0	0	0	0	0	0	1	0
20	2	2	13	2	2	1	2	2	2	2	2	2	2	0	0	60	50	40	0	50	0	0	0	2	0
21	2	2	16	1	1	1	1	1	1	1	1	3	1	100	100	50	50	50	50	50	90	90	100	1	0
24	1	4	16	2	2	2	2	2	2	2	2	2	2	5	7	10	20	0	20	5	5	40	0	2	0
31	1	4	17	2	2	1	2	2	3	2	2	3	1	0	0	100	50	0	50	50	90	50	0	3	0
29	1	4	19	1	1	1	1	1	1	1	1	1	1	100	100	100	90	100	999	90	100	70	100	1	0
37	2	4	22	1	1	1	1	3	1	3	1	1	1	99	70	80	80	60	70	80	99	80	99	1	0
20	2	2	13	1	1	1	1	1	1	3	1	1	1	100	100	95	60	80	50	70	90	80	95	1	0
20	1	2	13	1	1	1	3	1	3	3	3	3	3	95	95	60	999	70	999	999	75	999	80	1	0
27	1	4	17	2	2	1	2	2	2	2	2	3	2	0	0	30	50	50	50	50	10	0	0	2	0
18	1	1	11	1	1	1	3	1	3	1	1	3	3	100	100	96	90	90	50	50	60	67	100	1	0
22	1	2	16	2	2	2	3	2	3	3	2	3	3	0	0	50	50	50	50	30	50	20	0	3	0
22	1	4	15	2	2	2	2	2	3	2	2	2	3	0	0	40	50	0	50	50	30	30	0	2	0
21	1	3	13	2	2	1	2	2	2	2	2	2	2	0	0	0	0	0	999	0	0	0	0	2	0
21	1	2	14	2	2	2	2	2	2	2	2	2	2	0	0	50	50	0	50	0	0	50	0	2	0
19	1	1	13	1	1	1	1	1	1	2	1	1	1	100	100	100	50	100	50	50	100	50	100	1	0
20	1	2	13	1	1	1	1	1	1	1	1	1	1	100	100	100	100	80	95	98	100	90	100	1	0
