m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,sex,age
2,5,,4,1,2,2,,1,2,3,5,2,3,1,,3,4,4,4,5,4,1,1,1,1,4,2,3,,2,5,,
3,3,2,2,3,3,2,3,2,2,1,3,1,2,2,1,2,3,4,3,3,4,1,3,1,1,2,3,4,3,3,5,,
2,3,2,1,2,3,2,2,1,2,1,1,2,2,2,1,1,2,3,3,3,4,1,3,1,1,2,1,4,2,2,4,2,35
5,5,5,5,3,4,1,1,0,4,5,5,4,4,5,,5,5,5,5,5,5,4,3,5,4,5,3,4,5,5,5,1,52
3,4,2,2,3,1,1,3,1,1,2,3,4,,3,1,,2,2,3,,3,1,,1,1,,1,,4,3,3,,
2,5,2,0,3,2,2,0,0,1,1,2,1,2,3,3,1,3,5,5,2,5,2,4,0,2,5,3,5,1,1,5,1,26
5,3,5,3,2,0,1,2,4,2,5,3,5,3,2,3,5,5,4,5,5,5,5,5,4,3,5,4,5,5,5,5,2,32
4,4,3,2,1,3,1,,1,2,2,3,2,2,3,1,2,2,3,4,4,4,1,1,,1,2,1,2,3,4,3,2,34
4,4,,4,2,1,1,3,4,4,4,3,5,5,5,3,3,3,2,3,4,4,3,3,3,4,2,2,2,3,3,3,,
2,5,3,5,3,0,0,0,3,,,,2,2,,4,3,4,5,5,5,4,4,3,4,3,4,2,4,2,3,5,1,53
3,2,3,2,1,3,3,3,4,2,2,1,3,2,2,3,2,3,3,4,3,2,3,2,2,2,1,1,2,3,3,3,1,35
2,3,3,3,3,3,3,3,3,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,
4,4,3,4,1,1,1,4,3,4,2,3,3,3,3,3,3,2,2,4,3,3,2,4,3,3,3,2,3,3,3,3,2,58
4,4,5,4,4,3,1,4,2,3,4,4,4,4,5,4,5,4,5,4,5,4,5,4,3,4,5,2,4,5,5,5,1,26
4,3,2,2,2,3,2,2,3,1,1,1,1,1,2,2,2,4,3,4,4,4,2,2,2,2,3,2,2,1,1,2,2,38
2,3,3,4,4,1,2,2,3,,3,1,3,2,,,,,,,,,,,,,,,,,,,,
5,5,5,5,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,1,51
4,4,3,4,4,4,4,5,4,5,3,3,5,4,4,,3,4,5,,5,5,4,5,5,3,3,2,3,3,4,5,1,44
4,5,4,2,3,2,2,4,4,5,4,4,4,4,4,4,3,4,4,5,4,4,3,4,5,5,4,2,4,3,3,5,1,54
4,4,4,4,3,3,3,4,3,0,2,2,2,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
1,3,2,2,1,1,0,1,3,1,2,2,3,2,2,2,2,0,5,3,3,3,2,3,1,2,2,0,0,3,1,3,1,54
2,4,3,4,2,2,1,4,3,4,3,2,4,3,3,2,1,1,2,3,3,3,2,3,3,3,3,1,2,3,3,3,2,49
2,2,2,1,1,1,2,0,3,2,1,2,1,1,2,2,1,2,4,3,2,3,1,3,2,2,1,1,2,2,1,2,1,45
4,4,4,4,3,3,2,1,3,2,4,3,4,4,4,2,3,5,3,4,4,5,4,3,4,4,4,3,3,4,5,5,2,39
1,4,3,1,4,2,2,2,2,3,5,5,4,3,2,4,4,4,2,4,3,4,3,3,5,4,4,3,4,3,3,4,1,32
4,5,2,2,5,3,1,4,2,2,4,2,4,3,2,2,2,3,4,4,3,4,4,1,3,3,4,2,4,1,1,4,1,44
4,2,3,5,3,3,1,2,4,5,3,4,4,5,3,2,4,3,4,4,3,3,4,3,5,5,4,2,2,,,2,,
4,4,4,3,3,3,2,3,4,3,2,5,3,3,4,4,3,3,2,2,4,2,4,4,5,5,5,1,2,,,3,1,40
4,3,3,3,2,2,1,3,3,3,3,3,5,3,3,3,4,3,4,5,5,5,4,3,4,5,4,2,3,5,5,4,1,36
5,5,5,5,4,1,2,0,0,1,5,5,5,5,5,1,5,5,5,5,5,5,4,4,5,4,5,4,5,5,4,5,2,45
5,5,4,5,4,3,3,5,3,3,3,3,5,4,5,2,4,4,4,4,5,5,3,5,4,4,4,3,5,5,4,5,1,32
2,5,3,1,,3,1,2,2,3,,3,5,1,1,,2,5,4,5,3,3,5,,2,2,3,2,4,2,0,3,1,26
5,5,5,5,3,0,0,1,3,4,5,4,5,5,5,3,5,3,5,5,5,5,5,3,4,5,5,2,2,5,5,5,1,45
5,4,4,4,3,3,2,4,3,3,2,4,3,3,3,3,3,3,4,5,5,3,3,3,4,4,4,1,3,4,4,4,1,38
4,3,4,2,2,4,1,2,2,1,1,4,5,4,5,4,4,4,4,4,2,4,2,2,2,2,3,2,4,3,2,4,1,48
4,5,5,5,4,4,3,3,3,2,,,4,,5,,,,,,,,,,,,,,,,,,,
4,2,4,4,3,1,1,2,2,3,3,4,4,3,3,3,,,,,,,,,,,,,,,,,,
4,5,3,4,3,3,3,4,3,2,3,4,4,3,4,1,4,4,5,5,4,4,3,3,4,5,4,2,4,4,4,5,1,41
1,3,0,0,2,2,1,4,2,1,4,3,0,1,1,3,2,1,4,3,4,,0,0,1,1,5,2,,2,2,3,2,25
4,5,4,4,4,3,3,4,3,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,3,4,4,4,5,1,35
2,2,1,1,2,2,3,4,5,2,1,1,2,1,2,2,3,2,3,5,3,5,3,3,3,,2,2,3,4,5,3,1,62
4,4,4,5,3,5,4,5,5,4,4,3,5,5,5,5,5,4,3,4,5,4,4,,4,,3,2,4,5,5,5,2,56
4,5,4,3,4,1,1,0,0,0,4,4,3,3,3,4,2,4,5,5,4,2,2,4,3,3,3,3,3,2,2,3,1,49
3,3,2,3,3,3,1,3,2,2,2,2,1,2,3,3,4,1,5,5,5,3,3,4,3,5,1,1,1,3,2,2,1,52
3,5,3,3,0,1,0,4,4,4,2,2,3,,3,,3,3,3,4,4,3,3,3,2,2,2,2,2,4,4,3,1,61
,5,2,1,4,,5,5,,0,0,4,2,0,1,1,1,5,5,5,4,4,1,1,2,2,5,1,1,3,2,,1,37
4,5,1,1,1,3,1,3,4,3,0,2,3,2,1,0,1,2,1,0,2,2,1,2,2,1,1,0,0,0,0,2,1,50
5,5,5,5,2,3,1,,3,3,3,4,2,5,3,5,4,5,5,5,5,5,2,4,4,3,4,4,5,3,3,4,1,48
1,5,4,5,2,1,2,3,1,1,3,2,2,4,2,5,4,4,5,4,4,1,1,2,2,2,3,1,3,2,1,2,1,28
2,4,2,4,0,3,3,2,1,1,1,2,2,1,3,3,3,5,5,3,5,5,2,3,0,2,3,1,2,2,2,5,1,42
2,3,3,3,2,2,3,4,3,2,3,2,3,2,2,3,3,2,2,2,2,3,2,2,3,3,2,3,1,2,3,2,2,31
4,5,5,5,3,1,3,5,3,3,5,5,5,5,5,4,,,,,,,,,,,,,,,,,,
4,5,4,4,3,3,3,4,3,3,3,3,4,4,4,3,4,4,4,5,4,4,4,4,3,4,5,3,4,5,4,5,1,56
3,4,3,3,3,4,2,3,3,3,3,3,4,3,3,4,4,4,4,4,4,4,2,3,2,3,4,2,3,2,2,4,1,30
5,5,5,3,1,1,1,0,3,3,4,2,4,2,1,3,5,2,3,5,4,5,2,2,3,,1,1,3,4,3,4,2,56
4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,5,5,4,5,5,5,5,4,5,4,4,4,3,4,4,3,5,1,56
4,5,5,5,5,0,4,5,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,1,46
2,4,2,3,3,3,3,5,4,2,1,2,4,2,3,3,,,,,,,,,,,,,,,,,,
4,4,4,4,4,3,4,3,1,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,3,5,5,4,5,1,55
4,3,4,3,3,3,4,3,4,4,5,5,4,4,4,3,3,5,,4,2,4,4,2,4,5,4,3,2,3,4,4,,
4,5,5,5,4,4,3,4,1,3,4,4,5,5,4,5,5,5,5,5,5,5,5,4,5,5,4,3,5,4,4,5,1,56
4,4,5,4,4,3,,,4,5,4,4,4,5,4,4,4,4,4,5,5,5,4,5,4,4,4,3,4,3,5,4,1,62
5,2,4,3,5,4,5,5,4,5,2,5,3,4,5,5,5,5,5,5,5,5,5,3,3,4,5,5,5,5,5,5,,
2,2,2,2,3,3,3,3,3,1,2,2,2,2,2,,2,2,4,3,3,3,2,2,2,3,2,1,2,2,2,3,1,47
4,3,4,3,3,4,3,2,3,2,2,4,4,3,4,4,2,4,4,4,4,4,2,3,2,3,3,3,3,4,3,4,1,51
5,4,5,4,3,3,2,4,4,2,3,4,4,,5,3,5,2,4,3,4,2,3,3,4,4,4,2,4,4,3,4,1,51
5,4,4,3,4,4,4,5,4,3,4,4,4,5,3,3,5,3,5,3,4,3,4,4,4,4,4,4,3,5,5,5,1,39
4,4,3,4,4,3,3,3,3,4,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,4,3,5,5,4,5,,
4,5,5,4,5,5,4,5,4,4,4,5,2,4,5,4,4,4,5,5,5,5,5,4,3,5,5,4,4,5,5,5,1,51
4,5,5,5,5,1,3,3,4,2,5,3,5,5,5,3,5,,5,,,3,5,4,,3,3,2,4,5,4,5,1,50
4,4,4,3,4,3,3,4,3,4,3,4,4,4,4,4,5,5,5,5,5,5,4,4,2,4,4,4,4,4,4,5,,
5,5,4,1,2,0,0,0,0,0,1,4,1,4,1,5,2,4,4,4,4,4,2,2,3,2,3,3,4,1,2,4,1,40
