pp	BIS1	GDP2	FFFS3	BIS4	RWR5	GDP6	BIS7	RWI8	BIS9	RWI10	FFFS11	BIS12	GDP13	RWR14	IMP15	GDP16	FFFS17	GDP18	RWI19	BIS20	IMP21	RWR22	IMP23	GDP24	FFFS25	BIS26	RWR27	FFFS28	RWI29	BIS30	RWI31	BIS32	IMP33	RWR34	FFFS35	IMP36	GDP37	BIS38	RWI39	BIS40	FFFS41	BIS42	IMP43	RWR44	FFFS45	BIS46	RWI47	FFFS48	GDP49	RWI50	BIS51	BIS52	FFFS53	GDP54
23	1	2	1	2	3	3	1	3	2	3	1	3	4	4	2	3	2	3	2	1	2	3	2	4	1	2	3	1	3	2	3	1	2	3	3	2	3	2	4	2	2	2	1	4	2	3	3	2	3	3	2	3	2	4
24	3	2	2	2	4	4	2	3	2	3	1	1	3	4	1	2	2	3	4	1	1	4	3	4	1	3	4	1	2	3	3	2	2	4	2	4	2	4	4	3	3	2	1	4	2	3	4	1	2	3	3	1	3	3
25	4	1	4	3	4	1	4	4	4	3	2	4	2	3	1	1	3	1	1	4	4	4	4	1	4	4	4	2	3	4	3	2	1	1	2	4	1	3	1	4	1	4	1	4	4	4	1	1	4	2	4	1	1	1
26	2	4	3	3	4	4	3	2	4	1	4	4	3	4	1	2	1	3	3	2	2	4	2	4	4	3	4	4	2	3	3	1	3	2	4	4	3	2	4	3	4	4	3	4	3	4	4	4	2	3	4	4	4	3
27	1	2	1	3	3	3	4	4	1	1	3	3	2	4	4	2	1	1	3	2	2	4	3	4	1	3	4	1	1	3	3	1	4	3	4	3	1	3	4	4	2	1	1	4	1	3	4	2	4	3	3	1	4	3
28	1	4	1	1	1	4	1	4	2	3	1	2	4	4	2	4	3	3	3	1	4	2	1	4	1	1	3	1	4	1	4	3	3	4	1	1	3	4	4	4	1	1	2	4	1	1	1	1	4	4	3	4	1	4
29	2	4	3	1	2	4	1	4	2	3	1	1	4	4	2	4	1	4	4	1	1	4	2	4	1	1	4	1	4	1	4	1	4	4	3	4	3	1	4	3	1	1	4	4	2	1	3	2	4	4	1	2	1	4
30	3	3	2	3	3	3	3	3	3	2	2	2	2	3	2	2	3	2	3	2	3	4	4	3	2	2	3	2	2	2	2	3	3	2	2	2	2	4	2	3	3	4	4	2	2	4	2	3	2	2	2	2	2	2
31	3	3	2	4	3	2	4	1	4	2	3	4	3	4	4	2	1	2	2	4	3	4	4	2	1	3	3	2	2	3	3	2	4	3	3	4	1	4	4	4	2	3	4	4	2	4	4	4	2	2	3	4	3	2
32	2	3	1	3	3	4	3	3	4	2	2	3	2	4	1	2	2	2	3	2	1	3	2	4	4	3	3	3	2	3	3	2	1	2	3	3	2	3	2	3	3	2	1	4	3	3	2	2	3	4	3	2	4	3
33	2	4	1	2	3	4	1	2	2	1	3	2	3	4	3	3	4	3	2	1	2	3	2	3	2	1	2	1	2	1	3	1	2	4	2	4	3	1	3	3	4	2	2	1	3	1	2	1	2	2	1	2	4	4
34	4	4	1	3	3	4	2	4	1	1	3	1	4	4	1	3	1	4	4	3	1	4	3	4	1	3	4	2	4	2	4	1	2	1	4	2	4	4	4	4	4	4	3	4	2	4	4	3	3	4	2	1	4	4
35	1	2	2	4	3	4	2	3	3	1	3	4	3	2	2	3	2	2	3	4	4	2	4	4	1	4	4	1	2	3	3	2	2	4	1	2	4	1	3	4	2	1	3	3	2	4	4	3	3	3	4	4	4	3
36	1	4	1	1	2	4	2	3	4	3	2	4	4	4	2	4	1	3	3	1	1	2	1	4	1	4	4	1	3	4	4	2	3	2	1	1	4	3	3	4	1	4	2	4	1	4	3	2	4	3	3	4	2	4
37	2	3	1	2	3	3	2	2	4	2	1	3	2	3	4	3	3	3	2	2	3	2	3		1	1	4	1	3	1	4	2	3	3	1	2	3	1	4	1	3	2	1	3	1	3	4	4	2	3	2	1	1	3
38	3	2	1	2	3	2	3	1	4	1	2	2	2	3	1	2	1	3	2	1	1	3	3	1	3	4	2	1	1	1	2	2	1	1	4	1	2	3	1	3	2	4	1	2	2	2	1	2	4	2	1	1	2	3
39	4	3	2	4	4	4	3	2	4	2	4	4	3	4	3	4	3	3	3	3	1	4	3	4	1	3	4	3	2	4	3	1	1	2	4	4	3	4	2	1	4	4	4	4	1	4	4	3	4	3	4	4	1	4
40	3	3	2	1	4	4	3	1	4	1	2	1	2	3	1	2	1	1	3	2	1	4	2	4	2	1	4	1	1	1	3	2	4	2	4	3	3	2	4	3	4	2	4	4	1	2	3	2	4	3	2	1	4	4
41	1	4	2	2	4	4	2	3	1	4	3	1	4	4	1	3	2	4	4	1	3	4	2	4	1	2	3	2	3	2	4	2	3	4	3	2	4	4	2	2	2	2	1	4	2	2	4	1	4	3	2	1	1	4
42	2	4	1	3	4	4	1	4	1	4	2	1	4	4	1	4	2	3	4	1	1	4	3	4	2	3	4	2	4	2	4	2	3	4	3	2	4	4	4	4	2	3	3	4	2	3	4	2	4	4	4	2	3	4
43	3	2	4	4	4	3	4	1	4	1	4	4	3	4	2	4	2	4	4	4	1	4	4	4	4	3	4	2	3	3	4	1	3	2	1	2	2	2	4	3	4	3	4	4	2	4	3	4	3	4	4	1	4	4
44	4	4	2	4	4	4	4	4	4	3	4	2	4	4	3	4	4	3	4	4	2	4	2	4	2	4	4	2	4	4	4	1	2	4	2	3	4	4	4	3	3	4	3	4	1	4	4	3	3	4	4	4	4	4
45	2	3	4	4	3	4	2	1	4	2	4	3	2	4	1	3	4	3	4	4	4	4	3	4	4	4	3	4	2	4	2	2	3	1	4	2	3	4	1	4	4	4	1	4	4	3	4	4	4	3	4	4	1	4
46	2	3	2	3	3	4	3	3	4	2	2	4	4	4	4	3	3	2	4	3	2	4	3	3	2	2	4	2	3	3	4	2	3	2	2	2	4	4	4	4	2	3	2	4	3	4	3	2	1	4	4	3	3	3
47	2	3	2	4	2	4	3	1	4	2	1	3	2	4	1	3	1	1	2	2	3	3	1	4	2	3	4	2	4	4	2	1	3	4	2	4	2	4	3	3	1	3	1	4	1	3	4	2	3	2	4	4	1	2
48	3	2	4	2	3	3	1	4	2	4	1	2	2	3	4	3	1	1	2	2	3	4	3	3	1	2	3	1	1	4	4	2	4	4	1	1	4	4	3	2	4	3	3	3	1	4	3	2	1	3	4	1	4	3
49	2	2	4	4	3	2	3	2	4	2	1	4	1	2	3	1	1	1	2	3	2	3	3	1	4	4	2	3	3	4	2	2	2	4	1	4	1	2	1	2	2	3	3	2	2	4	1	1	4	2	4	2	1	1
50	1	3	1	4	2	4	3	2	1	1	3	2	2	3	3	3	1	2	3	3	3	1	4	4	2	4	3	1	3	3	3	2	2	4	1	3	2	3	3	4	1	3	2	2	1	4	2	1	4	3	4	2	1	3
51	2	2	4	4	2	2	3	1	2	1	1	1	2	2	1	2	2	1	2	3	4	4	2	1	2	3	2	3	1	4	3	2	2	1	3	1	2	3	3	4	4	4	2	2	2	4	4	4	4	2	4	1	2	1
52	2	4	1	2	3	4	2	4	4	2	4	3	4	4	3	4	1	3	3	2	4	4	4	4	2	3	3	2	3	2	4	2	3	1	3	1	3	4	4	4	1	3	2	3	2	3	4	3	3	4	3	2	4	4
53	2	3	3	2	3	4	2	3	1	3	2	2	4	4	3	3	2	4	3	1	3	4	3	2	2	3	4	2	2	1	2	2	4	2	4	3	1	4	4	3	1	2	4	4	2	3	3	2	3	4	2	2	3	3
54	1	3	1	1	1	4	2	3	3	2	2	2	3	4	1	3	4	3	3	1	2	4	1	4	2	2	4	2	4	1	4	1	1	4	3	1	3	2	3	2	1	2	1	4	2	2	4	2	4	4	2	2	3	4
55	3	4	2	3	3	4	4	3	4	4	3	3	4	4	2	2	3	3	3	3	2	4	2	3	1	3	4	2	3	4	4	2	3	2	4	2	4	4	4	4	2	4	4	4	3	4	4	2	3	4	4	4	4	4
56	3	4	2	4	4	4	4	4	4	3	4	4	4	4	1	3	2	2	3	3	4	4	2	3	1	4	4	1	3	4	4	2	4	4	3	4	4	4	4	4	3	4	3	4	2	4	4	4	4	4	4	3	2	4
57	1	4	3	2	4	4	3	2	2	3	2	1	4	4	1	3	2	3	3	2	2	4	1	4	1	2	4	3	2	1	3	1	1	2	2	1	3	3	3	2	3	2	1	4	1	1	4	2	3	3	2	4	2	4
58	1	2	1	1	2	3	1	4	4	4	2	2	3	4	2	3	2	2	4	2	1	2	2	3	1	1	3	2	4	1	4	1	2	2	2	1	4	4	4	2	1	2	1	3	1	4	4	1	2	4	2	1	2	4
59	4	4	2	4	2	4	4	4	4	2	4	3	3	3	1	3	2	2	3	3	1	2	2	3	2	4	4	2	3	4	3	1	2	4	3	1	2	2	3	4	1	3	3	4	2	4	4	2	3	3	4	4	4	4
60	2	3	1	2	3	3	2	2	4	2	2	3	3	3	2	3	1	2	2	2	1	3	2	3	1	2	4	2	3	3	4	1	1	2	2	1	3	3	2	3	2	2	1	3	3	3	2	2	4	3	3	3	4	3
61	4	4	2	3	4	4	4	3	4	2	4	4	3	4	2	3	2	2	2	4	4	4	4	4	3	2	4	3	2	3	2	3	2	3	4	2	2	4	3	4	3	4	3	4	2	4	4	4	4	3	3	2	4	4
62	2	3	2	4	2	3	4	3	4	3	4	4	2	3	4	3	3	3	3	4	3	3	4	3	1	4	4	4	2	4	3	2	4	1	3	2	3	4	4	1	3	4	4	3	4	4	4	4	1	3	4	4	4	4
63	2	2	2	2	3	4	4	1	2	3	1	3	2	4	2	2	4	2	2	3	2	2	2	2	1	2	4	2	2	2	3	1	2	2	3	2	3	3	3	2	2	2	1	4	2	3	3	1		2	2	2	2	4
64	2	3	1	2	3	3	2	3	1	1	3	2	2	2	3	4	4	2	2	3	1	2	4	3	1	3	4	2	2	2	2	2	1	1	3	2	3	3	3	3	4	3	1	3	2	4	4	3	3	2	3	4	1	3
65	3	2	2	3	4	3	4	2	1	2	1	1	3	4	4	2	1	2	4	2	4	4	4	3	4	3	4	1	2	1	4	3	4	2	4	4	2	4	4	3	4	3	1	4	4	3	4	2	2	4	3	2	1	3
66	3	3	2	3	2	4	2	2	4	1	2	2	3	4	2	2	4	3	3	2	2	4	4	4	3	3	3	2	3	2	4	2	2	1	3	1	4	3	1	2	2	3	3	4	2	3	1	2	3	3	2	1	4	3
67	2	3	3	3	1	3	3	1	4	1	2	3	1	2	1	2	1	1	3	4	4	2	3	3	1	3	1	1	1	3	2	3	1	1	1	1	1	4	3	4	1	4	1	1	2	4	4	2	3	2	4	4	3	3
68	1	4	1	1	3	4	3	4	2	2	3	1	4	3	3	4	2	3	3	1	2	4	1	4	3	2	3	2	3	2	4	1	2	2	2	3	4	3	4	4	1	2	3	4	3	4	4	4	3	2	2	2	4	4
69	1	4	2	1	3	4	1	1	2	3	2	1	3	4	1	3	2	3	2	1	1	3	1	3	1	1	3	1	3	1	4	2	2	3	3	2	3	1	2	1	2	2	1	3	1	2	3	2	4	3	2	2	2	3
70	3	2	4	2	3	3	2	4	2	3	1	3	2	3	3		2	2	4	1	2	4	3	4	2	3	3	1	3	2	4	1	4	3	2	3	3	2	4	2	2	2	3	4	1	2	2	1	3	4	2	2	1	4
71	1	4	1	1	2	4	3	2	4	1	1	2	3	3	2	3	1	1	3	2	4	3	2	3	2	3	4	3	2	3	3	3	3	1	2	1	3	3	1	4	2	3	1	3	1	4	3	2	3	3	1	1	4	3
72	2	3	2	2	2	4	2	3	2	3	2	3	2	3	1	3	1	3	2	2	2	4	2	4	2	3	4	4	4	3	3	3	2	3	3	1	3	3	1	4	2	2	1	4	2	3	2	2	4	3	3	2	4	4
73	3	3	3	4	2	3	4	1	4	2	1	1	1	4	1	1	1	3	1	3	1	4	4	4	4	4	1	1	1	2	2	1	1	3	3	1	1	4	1	4	1	4	4	2	2	4	1	1	4	1	4	3	1	3
74	1	4	1	2	4	4	2	2	3	2	4	2	3	4	3	3	2	2	4	2	2	4	3	4	2	2	3	2	3	2	4	1	3	3	2	1	3	4	4	3	1	3	3	4	1	3	4	4	4	4	2	3	4	3
75	2	3	2	3	3	3	2	2	3	2	2	2	3	3	2	3	3	2	3	2	2	3	2	2	2	2	3	2	3	2	3	3	2	2	3	2	2	3	3	2	3	2	2	3	3	2	3	2	3	3	3	3	3	3
76	3	3	1	2	1	3	3	1	4	2	1	2	1	3	4	2	3	1	2	2	1	4	1	2	1	3	3	1	1	2	2	1	2	4	3	4	2	4	4	1	1	2	3	2	1	2	4	2	1	2	2	3	1	2
77	2	2	1		2	3	3	2	1	2	1	1	3	3	2	2	1	3	3	2	1	3	1	3	1	2	3	2	3	1	3	2	1	2	3	2	3	4	3	4	2	4	2	3	2	2	3	1	3	3	2	2	3	3
78	2	4	4	2	4	3	2	3	1	3	4	4	4	3	1	3	4	3	3	1	3	4	4	3	2	3	4	3	3	2	4	1	3	2	3	2	3	4	3	4	4	3	2	4	4	3	4	4	4	3	3	4	4	3
79	2	3	1	2	3	4	2	2	3	3	2	4	3	3	2	3	1	3	2	3	1	2	1	4	3	3	3	3	4	4	3	2	1	2	4	1	3	3	4	3	1	4	2	3	2	4	4	1	3	2	3	1	2	3
80	4	2	1	3	2	3	3	1	1	3	1	1	3	4	2	2	1	1	3	3	3	4	2	2	4	4	3	3	2	3	4	2	2	4	4	3	2	4	4	4	1	3	2	4	2	3	3	1	1	3	2	3	4	3
81	1	3	1	2	1	2	4	1	4	1	3	1	2	2	1	2	2	2	1	2	1	3	2	4	2	4	3	2	1	2	4	1	2	1	1	2	2	4	3	4	1	4	2	3	1	4	1	2	4	2	2	1	1	4
82	3	3	2	3	3	3	3	3	2	2	3	2	3	4	2	3	2	2	3	2	2	3	2	3	2	3	3	2	3	3	4	2	3	3	4	3	4	3	4	2	3	3	2	3	2	3	3	3	4	3	3	2	3	3
83	2	3	1	2	3	4	3	4	4	2	1		2	4	2	3	3	2	4	2	2	4	3	4	2	2	4	1	2	2	3	2	2	2	3	1	3	4	4	4	4	3	2	4	3	4	4	3	4	3	3	3	1	4
84	2	4	2	2	4	4	3	3	3	2	3	2	4	4	3	3	3	3	2	2	3	4	4	3	2	2	4	2	4	2	3	2	3	1	1	2	3	2	4	2	4	2	3	4	3	4	4	4	2	4	3	2	4	3
85	2	2	1	3	4	4	3	1	4	1	2	4	1	4	1	2	1	2	1	3	1	3	1	4	1	2	3	1	1	1	4	1	1	2	1	1	1	1	1	1	2	2	1	3	2	2	1	2	3	4	2	2	4	3
86	3	4	3	2	4	3	1	1	2	1	1	1	3	4	1	2	2	3	3	1	2	4	1	4	4	3	3	3	3	3	4	2	1	3	4	2	3	4	1	2	2	2	1	4	1	3	4	2	4	3	2	3	2	4
87	2	4	2	3	4	4	2	3	2	3	1	1	2	4	1	3	1	2	3	2	3	4	3	4	2	3	3	2	2		2	2	2	3	3	2	3	1	1	4	2	4	2	4	1	3	3	1	4	3	3	4	1	4
88	4	4	1	3	4	3	3	4	3	3	1	2	4	3	3	3	2	4	3	2	2	3	2	4	3	4	4	2	4	2	3	1	2	1	2	2	3	3	4	3	2	2	4	4	2	4	3	1	3	3	2	4	1	4
89	3	3	4	3	3	4	3	1	2	1	4	1	3	3	1	2	2	2	2	3	1	4	2	4	3	3	3	3	1	3	3	4	1	2	4	1	2	3	2	4	1	4	2	4	4	3	3	2	4	2	3	4	4	3
90	1	4	2	3	2	4	1	2	2	1	1	1	3	4	1	3	1	3	3	1	2	4	2	4	2	3	3	1	3	2	3	1	1	4	2	1	3	3	2	3	2	2	2	4	2	2	1	2	4	3	2	3	1	4
91	2	2	4	2	3	3	2	3	1	2	2	1	4	3	1	2	3	2	3	1	2	3	4	2	1	1	4	2	3	2	4	1	2	2	4	2	2	3	2	2	1	2	1	4	3	3	4	1	3	4	2	3	1	2
92	2	4	1	2	3	4	3	4	4	4	1	3	4	3	3	4	3	3	4	1	4	3	2	4	2	2	4	3	4	2	4	2	3	3	2	3	3	4	3	2	2	3	3	4	4	2	4	1	4	3	2	3	1	4
93	1	3	3	2	2	2	2	1	3	2	2	3	2	1	4	2	2	2	2	2	3	2	1	3	2	1	3	2	2	2	3	1	2	2	2	2	1	3	3	2	1	2	1	3	1	2	3	2	2	3	2	2	3	3
94	3	3	1	2	4	4	1	3	1	2	3	1	4	4	3	2	2	1	3	1	3	4	2	4	2	2	4	2	2	2	3	1	1	4	4	1	3	3	4	2	1	2	1	4	1	2	3	2	4	4	2	1	4	4
95	2	4	1	3	2	3	2	1	3	3	4	2	4	4	2	3	2	3	3	1	3	2	2	3	1	2	3	2	3	2	3	1	2	3	2	1	3	3	3	1	3	2	3	3	1	4	3	4	2	3	3	3	4	4
96	4	4	4	4	3	4	4	1	4	4	4	4	3	3	2	4	4	4	1	4	2	4	4	4	3	4	4	4	2	4	3	4	3	2	3	1	4	4	2	4	4	4	3	4	4	4	3	4	4	2	4	4	4	4
97	1	3	3	3	3	3	2	3	4	2	3	4	3	2	1	3	2	3	3	1	4	3	1	4	2	2	3	2	3	4	3	1	2	2	2	1	3	3	2	4	1	3	1	3	1	4	2	2	3	3	4	2	3	3
98	2	4	4	2	3	4	2	3	3	4	2	2	4	4	1	3	3	3	4	2	1	4	3	4	1	2	4	1	3	3	4	1	3	4	4	1	4	4	4	2	3	2	3	4	1	2	1	2	3	3	1	4	1	4
99	2	4	4	3	2	4	1	3	3	3	1	2	3	4	3	4	3	2	3	3	4	3	2	4	1	3	3	1	2	2	4	2	1	2	2	1	2	4	3	3	4	3	2	3	4	4	3	2	4	2	4	3	4	4
100	4	3	4	4	4	4	3	3	4	2	2	3	3	4	3	3	3	3	3	2	4	4	4	2	2	2	4	2	3	3	4	3	4	3	3	4	3	4	4	4	4	3	3	4	3	4	4	4	4	3	3	2	2	4
101	3	2	3	4	3	2	3	1	1	3	3	1	2	3	2	2	1	1	2	4	3	3	3	3	3	4	4	3	2	4	3	2	3	1	4	2	2	3	3	3	1	4	2	3	1	4	4	2	2	2	4	4	2	3
102	3	4	4	3	4	4	3	3	4	3	4	4	2	4	2	4	4	3	3	1	3	4	3	4	3	2	4	4	2	3	4	2	3	2	4	1	4	4	1	4	4	4	1	4	4	3	4	4	4	3	4	2	3	4
103	3	2	1	3	3	3	3	3	4	1	1	4	3	3	2	3	1	2	3	3	1	4	1	4	1	3	3	1	2	3	4	1	1	2	2	2	2	3	1	4	1	3	3	4	2	4	2	3	3	2	3	4	1	3
104	2	3	3	3	4	4	3	4	3	1	3	4	3	4	2	4	1	4	3	3	2	4	2		2	2	3	3	3	2	2	1	3	2	4	1	3	4	4	4	2	2	2	3	2	3	4	1	3	4	3	3	4	4
105	4	3	1	2	1	4	4	2	2	2	1	2	3	4	1	3	3	2	3	3	1	2	3	4	1	2	3	1	2	3	4	2	1	1	3	2	3	4	4	2	1	4	1	3	1	4	1	1	4	4	4	4	3	4
106	2	4	1	2	2	4	1	2	3	4	4	2	4	4	1	4	1	3	2	1	2	4	2	4	1	2	4	3	3	1	3	1	3	3	4	3	4	2	2	3	1	2	3	4	2	3	3	4	4	3	2	4	4	3
107	2	3	4	2	3	4	2	4	2	3	2	3	3	4	2	3	4	3	4	2	2	4	4	4	3	2	4	2	3	2	4	1	3	3	3	2	3	4	4	2	2	2	3	4	2	2	4	2	3	4	2	3	1	3
108	3	4	3	4	4	4	2	1	2	1	4	1	2	4	1	2	4	1	2	4	1	4	3	4	2	2	4	3	1	3	3	1	1	3	4	1	3	1	1	4	2	4	1	4	3	4	3	4	4	2	4	1		4
109	2	4	2	2	3	4	2	3	2	2	3	4	4	4	3	4	2	4	4	2	3	4	2	4	3	2	4	2	3	1	3	2	1	4	3	2	4	2	3	3	3	2	1	4	2	2	3	3	4	4	2	2	4	4
110	2	4	1	2	4	4	2	4	1	2	1	4	4	4	2	4	1	4	3	1	4	4	1	4	1	2	4	1	3	1	4	2	2	2	2	1	4	2	3	2	1	2	3	4	1	2	2	1	4	3	1	4	1	4
111	2	3	1	1	3	4	1	4	1	3	1	1	3	3	3	3	2	2	3	1	1	3	1	2	1	1	4	1	4	2	4	1	3	4	2	1	3	3	4	3	1	1	1	3	1	1	3	1	3	4	2	2	1	3
112	1	3	2	1	4	3	2	4	3	4	1	2	3	4	2	2	2	4	4	1	3	4	2	2	3	3	4	3	4	1	4	1	2	1	3	1	2	4	3	3	1	2	2	4		2	2	1	3	3	1	1	1	3
113	1	4	1	1	3	4	1	4	3	1	1	1	4	4	2	4	2	3	4	1	2	4	1	4	2	2	3	3	4	1	4	1	3	4	3	1	3	3	3	4	4	1	2	4	3	1	3	1	3	4	1	2	2	4
114	4	3	4	4	4	3	2	1	1	3	2	1	4	4	1	3	4	4	2	1	3	4	3	4	2	4	4	1	2	4	2	1	1	4	2	3	3	4	2	2	2	4	3	4	2	4	2	2	4	2	4	4	2	3
115	4	3	4	3	4	3	3	1	1	3	1	2	2	4	2	3	4	4	2	3	3	4	4	3	3	3	4	2	2	3	1	4	3	2	4	3	4	4	4	3	1	4	4	4	4	4	3	1	4	2	4	3	2	4
116	2	4	1	3	4	4	2	3	2	2	1	3	3	3	3	4	2	3	4	2	2	3	3	4	2	3	4	1	4	2	4	3	3	2	1	1	3	2	4	3	1	2	3	4	1	3	3	1	3	4	4	3	1	4
117	3	4	2	3	3	4	2	3	4	2	3	4	4	3	2	3	4	3	4	3	4	3	3	3	2	4	3	4	4	3	4	4	3	2	2	1	4	2	4	4	1	4	4	2	3	4	3	3	3	4	3	4	2	4
118	3	4	1	2	2	3	2	3	4	3	1	3	4	3	1	3	1	3	4	1	1	2	1	4	2	2	3	2	3	2	2	1	1	1	2	1	4	2	4	3	2	3	2	3	2	2	4	2	4	3	2	3	3	4
119	1	4	1	1	2	4	1	3	1	3	1	1	4	3	1	4	3	4	3	1	3	4	1	4	1	1	2	1	3	1	3	1	1	3	1	1	2	3	3	3	2	1	1	3	1	1	3	1	3	3	1	1	1	4
120	3	4	2	3	4	2		4	1	2	3	3	3	4	1	3	2	2	3	2	3	3	1		3	4	4	4	3	2	4	2	1	4	2	1	3	2	1	2	1	3	2	4	2	2	2	3	4	2	2	1	1	4
121	2	4	3	3	2	4	3	2	3	3	3	2	4	3	3	3	2	4	3	2	2	3	1	4	2	2	2	2	4	2	3	1	1	1	1	1	3	4	4	4	4	4	1	4	3	3	4	3	2	4	2	3	4	4
122	2	4	4	2	2	4	3	2	1	2	4	1	1	4	1	2	1	3	3	3	2	4	4	4	4	3	3	4	2	2	4	2	1	1	2	1	3	4	2	3	4	3	1	4	2	3	2	4	4	3	3	4	1	4
