pp	BIS1	GDP2	FFFS3	BIS4	RWR5	GDP6	BIS7	RWI8	BIS9	RWI10	FFFS11	BIS12	GDP13	RWR14	IMP15	GDP16	FFFS17	GDP18	RWI19	BIS20	IMP21	RWR22	IMP23	GDP24	FFFS25	BIS26	RWR27	FFFS28	RWI29	BIS30	RWI31	BIS32	IMP33	RWR34	FFFS35	IMP36	GDP37	BIS38	RWI39	BIS40	FFFS41	BIS42	IMP43	RWR44	FFFS45	BIS46	RWI47	FFFS48	GDP49	RWI50	BIS51	BIS52	FFFS53	GDP54
133	4	3	4	3	2	4	4	2	4	1	4	4	3	4	3	3	1	3	4	3	3	2	2	4	3	3	4	4	4	4	4	4	4	4	4	4	4	3	4	2	1	4	4	4	1	4	4	4	3	3	4	4	4	4
134	3	2	2	3	4	4	3	1	3	1	4	2	1	4	3	3	4	1	3	1	1	4	1	4	1	1	4	1	1	2	3	2	1	2	4	4	1	4	1	4	4	2	1	3	3	2	4	2	2	3	2	1	4	3
135	1	3	2	2	3	4	1	4	1	3	1	1	3	3	1	4	1	2	4	1	1	4	2	4	2	2	2	3	1	2	4	2	3	4	1	2	4	2	4	3	1	2	3	3	1	3	3	2	3	3	3	4	3	4
136	4	3	3	2	4	4	4	4	4	3	2	3	2	4	2	4	1	3	4	2	3	4	1	4	1	3	4	1	3	2	4	1	3	2	3	1	4	4	2	2	1	2	2	4	1	3	4	2	4	4	3	2	4	4
137	1	4	3	2	4	3	2	4	4	4	2	3	2	4	2	4	2	2	3	2	3	3	1	4	1	2	4	1	3	2	4	3	2	3	2	1	3	3	4	4	3	2	2	3	1	2	3	1	4	3	2	2	2	3
138	3	1	3	2	2	3	3	1	3	2	1	2	2	2	1	1	1	1	1	2	1	3	4	4	2	3	3	1	1	4	1	1	2	2	2	1	1	3	1	1	4	2	4	4	1	3	2	2	1	1	3	3	2	3
139	2	4	2	1	2	4	1	2	3	3	4	2	2	4	2	3	2	2	2	1	3	4	2	4	2	2	4	2	2	2	3	1	2	2	3	1	3	3	1	2	3	2	1	4	1	2	4	3	4	2	2	3	4	4
140	2	4	2	1	4	4	2	1	1	3	4	1	4	4	1	3	3	3	2	1	1	2	2	3	3	4	4	2	3	2	4	1	1	3	3	1	4	1	2	2	1	4	3	4	2	4	3	2	4	4	1	2	4	4
141	3	2	3	2	3	4	1	2	3	2	1	2	2	4	2	3	1	3	3	2	1	4	1	4	3	3	4	2	2	2	4	3	2	2	3	2	2	4	3	4	3	2	1	4	1	3	4			3	2	3	3	3
142	3	3	1	2	4	4	4	2	1	2	1	1	2	4	3	2	2	1	3	1	2	4	2	4	1	2	1	2	1	4	3	1	2	3	3	4	3	3	4	4	2	4	2	4	1	3	4	3	1	3	3	3	1	4
143	3	4	1	3	4	4	3	4	2	1	1	3	4	3	1	3	2	3	3	4	3	4	4	3	1	4	3	1	4	4	3	1	2	3	2	1	4	4	2	3	2	4	2	3	1	4	2	1	3	3	4	4	1	4
144	4	3	2	4	4	3	4	4	4	4	2	4	3	4	3	4	2	2	4	3	1	4	4	4	3	4	4	1	4	4	4	3	3	2	4	2	3	2	4	4	1	2	2	3	1	4	4	1	3	4	4	1	1	4
145	2	3	2	2	3	4	2	3	2	4	2	3	4	4	3	3	3	3	3	1	3	4	3	4	3	4	4	2	3	3	4	2	3	4	4	2	3	4	4	4	4	2	3	4	2	3	3	2	3	3	2	2	3	4
146	3	3	1	3	3	4	2	2	1	1	1	1	3	4	2	3	1	2	2	3	2	4	2	4	2	3	2	1	1	1	4	2	2	1	2	4	3	2	4	2	4	2	3	4	3	1	4	4	4	4	4	2	3	4
147	2	3	1	2	2	3	2	3	4	2	3	4	3	3	3	2	3	3	2	2	2	3	2	3	3	4	2	2	3	4	3	2	2	2	2	3	3	3	2	4	1	2	1	2	1	3	2	2	2	3	4	2	4	3
148	1	3	1	3	3	4	2	2	3	2	2	2	3	3	2	4	2	2	3	2	2	3	1	4	3	2	4	2	2	3	4	2	2	3	2	1	3	2	4	3	3	2	2	4	1	3	2	2	4	4	3	1	2	4
149	3	4	2	3	2	1	1	1	2	2	1	3	3	2	1	4	1	3	2	3	1	2	1	2	1	2	2	2	4	2	2	1	1	3	2	1	4	2	1	1	1	3	1	3	2	3	4	1	4	2	2	2	3	4
150	3	3	2	1	3	4	2	1	3	1	4	3	4	4	3	3	1	4	3	1	3	3	3	4	2	1	4	1	2	1	4	2	3	2	2	4	4	4	3	4	2	3	4	4	3	3	4	2	4	3	1	3	4	4
151	1	3	1	4	2	4	2	3	4	1	1	4	4	2	1	3	2	3	4	4	3	4	2	3	1	4	4	1	2	4	4	1	2	1	4	1	3	4	2	2	1	3	2	4	1	4	2	2	4	4	3	4	2	3
152	2	3	2	2	2	4	2	4	4	1	1	2	3	4	2	4	1	3	2	2	1	3	3	3	2	1	4	2	4	4	4	3	1	2	4	2	2	4	3	2	3	2	2	4	2	4	3	2	4	3	4	2	2	4
153	2	4	1	2	2	4	1	4	4	4	2	1	3	4	1	4	3	3	4	1	1	3	4	4	1	3	3		4	3	4	1	4	3	2	1	4	4	4	4	2	2	4	3	1	3	3	1	3	4	3	1	1	4
154	4	1	4	2	4	3	4	1	4	1	2	3	1	3	1	1	4	1	1	3	2	4	4	2	1	2	4	3	1	2	1	1	1	1	4	2	1	2	2	2	3	3	4	4	2	4	1	2	2	3	4	1	4	2
155	3	4	2	4	2	4	3	4	3	4	1	4	3	4	2	3	2	3	4	2	3	4	4	4	3	4	3	4	4	4	4	3	2	2	4	2	4	4	4	4	3	4	3	3	4	4	2	2	4	4	4	4	1	4
156	1	2	1	2	4	4	1	2	4	1	1	4	3	4	1	3	1	3	4	1	1	4	1	2	1	2	4	1	2	1	4	1	2	4	2	1	2	4	4	2	1	2	2	4	1	2	4	1	4	4	1	3	2	3
157	1	3	1	1	3	4	1	4	2	3	2	3	4	4	1	3	2	3	3	1	1	3	2	3	2	1	3	2	4	1	4	1	2	3	4	1	3	2	3	2	2	1	1	3	1	1	3	1	3	3	1	2	2	3
158	1	2	1	3	1	4	4	2	4	1	4	2	2	4	1	2	1	2	2	3	4	4	3	3	2	2	4	3	3	2	2	3	1	2	4	1	2	4	3	4	1	2	3	4	4	3	4	3	3	2	3	1	4	3
159	2	4	1	2	3	4	2	4	2	3	2	2	4	4	2	3	4	4	4	2	2	3	2	4	3	3	4	2	4	3	4	3	2	2	2	2	3	4	1	2	3	3	3	4	3	3	3	2	4	4	3	2	2	4
160	2	3	4	3	2	4	3	1	4	1	2	4	3	4	1	3	3	2	2	3	1	4	2	4	3	3	4	2	1	2	2	2	1	1	4	2	2	4	2	1	2	4	2	4	3	2	4	3	4	1	3	2	4	4
161	2	2	3	2	3	4	3	3	4	3	2	4	2	3	1	3	2	2	2	3	4	4	4	4	3	4	3	2	2	2	3	2	2	1	3	4	3	4	4	3	4	1	2	3	2	4	4	4	2	2	3	1	3	4
162	2	4	3	2	4	4	4	3	4	4	4	4	2	4	1	2	1	2	1	1	2	4	4	4	4	4	4	4	2	3	2	1	4	3	4	3	2	4	1	4	1	3	4	4	4	4	3	4	3	3	4	2	4	2
163	1	4	3	2	2	4	4	1	1	2	1	1	2	4	1	3	1	3	4	2	3	2	2	4	2	1	4	2	4	1	4	1	1	1	3	2	4	3	4	1	2	2	1	3	3	2	2	2	4	3	1	1	3	4
164	4	4	2	4	3	4	3	3	2	1	4	2	3	3	2	4	3	3	3	4	2	2	1	4	3	2	4	3	2	4	3	2	3	3	3	1	4	2	1	4	3	4	3	3	4	4	1	3	3	3	4	4	4	4
165	2	4	1	2	2	3	1	3	2	2	4	1	4	2	1	4	2	3	4	1	3	3	3	3	2	2	3	2	4	2	4	1	2	2	3	1	3	2	3	2	1	2	3	2	4	2	2	1	3	4	2	3	2	4
166	3	4	1	4	2	4	4	4	4	2	1	3	3	2	1	2	3	1	2	2	4	3	2	4	2	4	4	1	4	4	4	2	1	2	3	1	4	4	4	3	4	3	2	4	3	4	4	1	3	3	2	4	1	4
167	3	4	1	4	1	4	2	1	4	3	2	2	2	3	1	2	4	2	3	3	1	4	4	4	2	4	3	1	2	4	2	2	1	2	2	1	3	4	2	4	4	4	3	4	1	3	3	1	2	2	4	3	2	3
168	2	4	 	1	1	4	3	3	3	4	1	2	4	4	3	4	2	4	4	2	2	3	1	4	2	2	4		3	2	4	 	3	3	4	2	4	4	3	2	3	2	4	4	3	3	4	2	4	4	2	4	2	4
169	4	4	2	4	4	4	4	1	4	2	2	4	2	2	1	3	3	2	3	3	1	4	1	3	3	3	4	2	3	3	3	3	2	1	3	1	3	4	1	4	1	3	1	4	4	4	3	2	4	3	3	3	3	4
170	4	2	2	3	1	2	3	4	4	2	1	1	2	4	1	2	4	2	2	2	1	3	1	3	4	1	4	2	2	3	3	1	3	1	4	1	2	4	3	2	1	3	2	4	1	2	3	1	2	2	1	1	2	2
171	4	4	4	3	3	4	4	4	4	4	4	4	3	4	3	4	2	4	4	3	3	4	2	4	3	4	4	3	3	4	4	3	4	3	4	1	4	4	3	4	3	4	3	4	2	3	4	4	4	4	4	1	4	4
172	2	4	3	1	2	3	2	4	2	2	2	1	3	2	1	4	2	2	3	1	2	2	1	3	1	1	3	2	4	1	3	2	2	2	2	1	2	2	3	3	2	2	1	2	1	2	2	1	3	3	1	3	1	4
173	1	4	2	2	2	4	1	1	3	3	4	1	3	4	2	4	4	3	3	1	1	3	2	4	1	3	3	3	2	2	3	1	1	2	3	1	4	4	3	4	1	3	3	4	3	2	4	4	4	3	1	4	4	4
174	2	4	2	4	3	4	2	4	4	2	1	2	3	4	4	3	3	3	4	1	3	4	1	4	1	4	4	1	3	3	4	1	2	2	1	1	3	4	4	3	1	2	2	4	1	4	3	1	3	3	4	3	1	4
175	2	4	1	2	1	4	1	2	4	2	1	4	4	4	1	3	1	4	3	3	1	3	1	4	2	1	2	1	2	3	3	2	2	2	4	1	4	3	1	2	1	4	1	3	1	3	2	1	3	2	1	3	2	4
176	2	4	1	3	4	4	4	2	2	3	1	1	4	4	4	3	3	4	4	3	2	4	1	4	4	4	4	4	3	1	4	4	3	1	2	1	2	4	4	3	1	3	3	4	1	2	4	4	4	3	2	1	1	4
177	2	4	1	3	4	4	3	3	4	2	3	4	3	3	2	4	3	2	3	3	2	4	3	3	2	2	4	1	4	4	4	4	1	1	3	1	4	3	2	4	1	4	2	4	2	3	2	3	4	3	3	4	4	4
178	3	3	4	3	2	4	1	3	4	3	1	2	3	4	4	3	3	3	2	2	2	2	3	3	3	1	2	1	3	2	3	2	4	3	2	1	3	4	4	1	1	1	4	3	1	3	4	1	3	3	1	2	1	3
179	2	2	2	4	3	3	3	1	2	2	3	3	1	4	1	2	3	3	1	3	1	4	2	2	2	2	4	3	1	2	2	4	1	1	3	1	1	4	2	4	4	4	3	4	2	4	3	3	3	1	2	1	4	2
180	2	4	1	1	2	4	2	2	3	2	1	3	4	4	1	4	2	4	3	2	1	4	1	4	2	2	2	1	3	1	3	1	1	2	4	1	4	4	1	3	3	3	2	4	1	2	3		4	4	1	2	4	4
181	2	3	1	2	3	4	1	4	2	1	2	3	4	4	2	4	3	3	4	2	2	4	2	4	1	4	4	1	4	4	4	3	2	1	2	1	4	1	1	3	1	4	1	4	1	4	2	3	4	3	3	4	2	4
182	4	3	2	4	3	4	3	4	4	3	1	1	4	4	1	3	3	4	3	2	2	3	1	4	2	4	4	2	3	4	4	1	1	2	4	2	4	3	2	4	1	3	1	4	3	4	1	2	3	3	2	4	1	4
183	2	4	2	2	2	4	1	2	3	2	2	2	3	4	1	3	3	3	3	1	1	2	2	4	4	2	4	1	2	1	3	1	1	2	4	1	3	3	4	3	1	2	1	4	1	3	4	2	3	2	2	2	1	4
184	3	3	1	4	2	2	4	2	3	2	4	4	1	4	2	1	3	2	2	4	3	4	4	4	3	4	3	4	2	4	3	2	1	3	4	3	2	4	1	4	1	4	2	4	3	4	3	4	3	2	4	4	4	3
185	3	1	2	4	2	1	4	1	4	1	1	4	1	2	1	1	2	1	1	4	3	3	3	2	3	3	2	4	1	4	2	3	2	1	4	1	1	4	1	4	1	4	2	2	1	4	1	4	4	1	4	2	1	2
186	2	3	4	3	2	4	4	3	4	2	2	3	1	4	4	3	3	1	2	4	4	4	1	4	4	4	4	4	1	3	1	3	4	1	4	3	1	4	4	4	4	4	3	2	4	4	4	4	4	3	4	4	1	2
187	3	4	2	3	2	4	3	1	2	1	3	3	2	4	1	2	2	2	1	2	3	3	4	3	2	4	4	1	2	2	1	1	2	1	1	3	3	4	1	3	2	4	1	3	2	4	2	4	4	2	4	3	4	3
188	3	3	1	3	3	3	3	4	4	3	1	3	3	3	2	3	2	2	2	3	2	2	1	3	2	3	3	1	3	2	3	2	3	2	1	2	3	2	2	3	1	2	2	3	2	2	3	2	3	3	3	3	2	3
189	3	4	2	4	2	3	4	4	4	1	1	2	3	3	2	3	1	1	4	4	1	1	2	2	1	4	2	1	4	3	4	1	4	1	2	4	3	2	4	2	1	3	2	3	1	4	4	1	4	3	4	4	1	3
190	2	4	1	4	2	4	4	2	3	1	4	2	3	3	1	4	4	3	3	3	2	3	4	4	3	4	3	4	3	4	2	1	3	4	4	2	3	4	2	4	3	4	4	3	1	4	4	4	2	3	4	4	4	3
191	3	3	1	1	4	4	3	1	4	2	3	4	1	4	2	3	2	1	3	2	2	4	4	4	3	4	4	2	2	3	2	1	2	4	4	1	2	3	1	3	1	2	4	4	1	4	4	3		3	4	4	4	4
192	3	3	1	1	3	4	3	2	3	4	1	1	4	4	3	4	2	3	4	1	2	4	3	4	2	1	4	2	3	3	3	1	4	1	4	2	4	4	4	4	3	3	3	4	2	4	2	2	3	4	4	4	3	4
193	2	3	3	2	2	4	2	2	1	3	1	1	4	4	3	3	2	4	3	1	3	4	2	4	4	2	4	2	2	3	3	2	4	2	4	3	3	3	3	3	2	1	4	4	1	2	3	3	3	3	2	2	2	3
194	1	3	1	1	2	4	2	1	4	3	1	1	3	4	1	3	2	2	3	1	4	4	2	4	2	1	3	2	3	2	3	1	2	1	1	1	2	3	1	2	3	2	2	4	1	4	2	1	4	2	2	1	2	3
195	2	4	1	4	3	4	4	3	4	1	2	4	3	3	1	3	2	3	3	3	1	4	3	4	2	4	3	2	2	4	4	1	1	4	2	2	3	2	2	4	1	2	1	4	2	4	2	2	3	3	4		3	4
196	3	4	3	2	4	4	4	1	4	1	1	1	4	4	1	3	3	3	2	1	1	4	1	4	4	4	3	4	1	3	1	3	1	1	4	2	3	4	1	4	1	4	1	4	4	4	1	3	4	2	2	4	4	4
197	2	4	1	2	4	4	2	4	4	3	2	4	3	4	1	4	2	3	4	2	1	4	1	4	1	2	4	1	3	2	4	1	2	2	1	1	4	4	1	4	2	4	2	4	4	4	3	2	4	4	4	4	3	4
198	2	1	1	2	3	3	3	1	3	3	1	1	3	4	3	2	1	2	3	2	3	4	4	3	4	3	4	2	1	3	3	2	4	4	2	3	3	2	4	1	1	2	4	4	1	3	4	1	1	3	1	3	2	2
199	4	4	1	3	4	4	2	1	4	2	2	3	4	4	2	4	4	4	3	2	2	4	3	4	1	4	4	3	2	4	4	2	1	4	3	1	4	3	2	4	4	3	2	3	2	3	3	3	3	4	4	1	1	4
200	3	4	2	3	3	4	2	2	4	1	2	3	3	4	1	2	3	3	3	2	2	4	2	4	3	4	3	2	2	4	4	2	2	1	2	1	2	4	1	4	1	4	2	3	1	4	2	2	3	3	4	2	1	4
201	4	4	3	4	3	4	4	2	4	1	1	3	1	2	2	4	2	3	3	4	4	2	1	4	2	4	4	4	1	3	3	4	1	1	4	3	3	2	3	4	1	4	3	4	4	4	3	3	4	2	3	4	1	3
202	1	4	4	3	4	4	3	1	1	3	4	2	3	4	3	3	4	4	4	1	4	4	4	4	3	3	4	4	3	3	3	1	4	3	4	1	3	4	4	3	3	3	4	4	4	4	4	4	2	4	3	3	4	4
203	1	3	1	2	3	4	1	2	1	1	2	2	3	4	2	2	4	4	2	1	2	2	4	4	4	3	3	2	2	2	3	2	1	3	4	1	3	4	2	2	2	4	1	4	2	3	2	3	3	2	1	2	1	3
204	1	2	1	2	2	2	1	2	3	4	3	1	4	4	1	4	2	4	4	1	4	4	2	4	1	2	4	4	4	2	4	1	2	4	4	2	4	1	4	3	3	2	1	4	2	3	2	1	4	4	4	3	4	4
205	2	3	2	2	3	1	3	4	4	4	2	3	3	4	2	2	1	3	3	1	2	3	3	3	2	1	2	2	3	1	3	1	2	2	1	1	2	4	2	1	1	1	4	2	1	2	2	2	3	3	1	2	2	3
2052	2	3	4	3	3	3	3	2	3	2	4	2	3	3	1	3	1	2	3	3	1	3	3	4	3	2	3	4	2	3	2	2	1	3	3	1	2	4	3	3	4	3	1	3	4	4	3	2	3	2	3	3	4	3
206	1	3	2	1	3	4	1	4	2	3	2	1	4	4	2	3	2	3	4	1	2	4	1	4	2	1	4	1	4	2	4	2	3	2	2	1	3	3	3	2	2	1	2	4	2	1	2	4	4	4	2	3	4	4
207	2	3	3	2	4	4	2	1	2	3	3	2	1	4	1	2	2	1	2	2	3	4	3	4	2	4	4	2	1	4	2	3	3	4	4	4	2	4	4	4	1	4	3	4	2	4	4	3	3	2	3	4	2	3
208	3	4	2	4	3	3	4	2	3	2	4	4	2	4	3	3	1	3	2	3	2	4	3	3	2	4	4	2	2	4	3	3	2	1	3	2	3	4	2	4	1	4	4	3	3	4	3	2	3	2	4	4	4	3
209	3	3	2	2	3	4	2	4	1	1	2	2	4	3	1	3	2	3	3	2	3	4	4	4	1	3	3	1	3	2	3	2	2	1	2	1	3	3	2	4	3	4	2	3	1	4	2	2	4	3	4	2	2	4
210	2	3	2	2	1	3	3	2	4	3	1	3	3	4	2	3	1	3	4	2	2	4	3	4	2	3	3	1	3	2	4	2	2	1	3	1	3	4	3	3	1	3	2	4	1	3	4	1	1	4	2	2	2	4
211	3	4	2	3	4	4	3	4	2	2	1	3	2	4	4	4	4	3	4	3	4	4	3	3	3	3	4	4	3	2	4	1	2	2	4	1	2	4	4	3	1	3	3	4	3	2	4	3	3	4	2	4	4	4
212	3	4	4	3	4	4	3	4	4	3	4	3	3	4	2	3	3	2	3	2	2	4	4	4	2	3	4	3	3	4	4	3	2	1	2	4	3			3	2	4	4	4	1	4	4	3	3	4	3	4	3	4
213	2	3	1	2	3	4	3	4	4	4	1	4	2	4	1	4	3	1	3	1	3	4	3	4	3	1	4	3	4	2	4	1	2	1	4	2	3	3	3	2	4	1	1	4	1	1	4	3	3	2	3	1	4	4
214	1	4	2	1	3	4	2	1	2	3	4	1	3	4	1	2	2	4	3	1	2	3	2	4		2	4	2	1	2	2	4	1	3	2	2	4	4	2	4	2	4	2	3	1	2	4	3	3	2	1	1	4	3
215	4	4	3	3	2	4	4	2	4	1	1	2	1	3	1	2	1	2	3	4	4	4	3	4	4	4	4	4	2	3	3	2	1	3	4	2	2	4	1	4	1	4	1	4	1	3	2	3	2	2	3	4	1	4
216	2	4	3	2	3	4	2	1	4	2	4	4	3	4	1	4	4	3	3	3	1	4	2	4	1	4	4	4	1	4	2	3	1	2	4	1	3	4	1	4	4	4	1	4	4	4	2	3	3	2	4	4	4	4
217	4	3	2	4	3	4	2	3	4	4	4	2	4	4	3	3	2	4	3	3	2	4	3	3	2	4	4	4	2	4	4	2	3	1	2	1	2	1	2	2	3	2	4	4	1	4	1	3	4	3	4	3	1	4
218	2	4	3	4	3	4	4	2	3	1	4	4	3	3	4	4	1	3	4	4	3	3	3	4	2	4	4	1	3	4	4	2	2	3	3	1	4	4	3	3	2	4	4	3	2	4	3	2	4	3	4	3	4	4
219	4	4	4	4	1	4	4	4	4	4	1	4	2	4	2	4	4	2	4	3	1	1	4	4	2	4	3	4	4	4	4	4	3	1	4	1	4	4	4	3	1	4	3	3	4	4	3	4	4	3	4	4	3	4
220	3	4	3	2	2	4	3	2	4	2	2	4	3	2	2	3	1	4	2	2	2	4	2	3	1	2	3	2	3	2	2	2	1	1	2	1	3	3	2	2	2	3	2	3	2	4	4	4	4	2	3	1	4	4
